# CSA Cec - Pass
# Auto-generated by classify_fixtures.rb

CSA C22.2 NO. 286:23
CSA C22.2 NO. 0:20
CSA C22.2 NO. 100:14 (R2024)
CSA C22.3 NO. 7:20
CSA C22.2 NO. 1-04 (R2009)
CSA C22.2 NO. 109-17 (R2022)
!CSA C22.2 NO. 125-M1984 (R2004)!CSA C22.2 NO. 125-M84(R2004)
CSA C22.2 NO. 137-18 (R2022)
CSA C22.2 NO. 14-18 (R2022)
!CSA C22.2 NO. 142-M1987 (R2014)!CSA C22.2 NO. 142-M87(R2014)
CSA C22.2 NO. 144.1-16 (R2020)
CSA C22.2 NO. 150-16 (R2021)
!CSA C22.2 NO. 151-M1986 (R2009)!CSA C22.2 NO. 151-M86(R2009)
!CSA C22.2 NO. 168-M1981 (R2004)!CSA C22.2 NO. 168-M81(R2004)
CSA C22.2 NO. 174-18 (R2022)
CSA C22.2 NO. 178-1978 (R2006)
CSA C22.2 NO. 182.3-16 (R2021)
!CSA C22.2 NO. 183.1-M1982 (R2018)!CSA C22.2 NO. 183.1-M82(R2018)
!CSA C22.2 NO. 183.2-M1983 (R2018)!CSA C22.2 NO. 183.2-M83(R2018)
!CSA C22.2 NO. 200-M1985 (R2004)!CSA C22.2 NO. 200-M85(R2004)
CSA C22.2 NO. 21-18 (R2023)
CSA C22.2 NO. 211.0-03 (R2022)
CSA C22.2 NO. 211.3-96 (R2007)
CSA C22.2 NO. 213-17 (R2022)
CSA C22.2 NO. 22-18 (R2022)
CSA C22.2 NO. 241-97 (R2005)
CSA C22.2 NO. 2459-08 (R2022)
CSA C22.2 NO. 248.10-11 (R2020)
CSA C22.2 NO. 29-15 (R2024)
CSA C22.2 NO. 327-18 (R2023)
CSA C22.2 NO. 38-18 (R2022)
!CSA C22.2 NO. 45-M1981 (R2008)!CSA C22.2 NO. 45-M81(R2008)
CSA C22.2 NO. 46-13 (R2022)
!CSA C22.2 NO. 6-M1984 (R2000)!CSA C22.2 NO. 6-M84(R2000)
CSA C22.2 NO. 61-16 (R2021)
!CSA C22.2 NO. 66-1988 (R2001)!CSA C22.2 NO. 66-88(R2001)
CSA C22.2 NO. 66.1-06 (R2020)
CSA C22.2 NO. 66.3-06 (R2020)
!CSA C22.2 NO. 73-1953 (R2013)!CSA C22.2 NO. 73-53(R2013)
CSA C22.2 NO. 89-15 (R2020)
CSA C22.2 NO. 9.0-96 (R2016)
!CSA C22.2 NO. 98-1954 (R2012)!CSA C22.2 NO. 98-54(R2012)
!CSA C22.3 NO. 4-1974 (R2020)!CSA C22.3 NO. 4-74(R2020)
