ITU-T D.211 Suppl.1 (05/2010)
ITU-T E Suppl.1 (10/1976)
ITU-T E Suppl.1 (12/1972)
ITU-T E Suppl.10 (10/1976)
ITU-T E Suppl.2 (10/1976)
ITU-T E Suppl.2 (12/1972)
ITU-T E Suppl.4 (10/1976)
ITU-T E Suppl.5 (10/1976)
ITU-T E Suppl.6 (10/1976)
ITU-T E Suppl.7 (10/1976)
ITU-T E Suppl.8 (10/1976)
ITU-T E Suppl.9 (10/1976)
ITU-T M Suppl. 1.1 (12/1972)
ITU-T M Suppl. 1.2 (12/1972)
ITU-T M Suppl. 1.3 (12/1972)
ITU-T M Suppl. 1.4 (12/1972)
ITU-T M Suppl. 1.5 (12/1972)
ITU-T M Suppl. 1.6 (12/1972)
ITU-T M Suppl. 2.1 (12/1972)
ITU-T M Suppl. 2.10 (12/1972)
ITU-T M Suppl. 2.11 (11/1988)
ITU-T M Suppl. 2.12 (12/1972)
ITU-T M Suppl. 2.13 (10/1976)
ITU-T M Suppl. 2.14 (10/1976)
ITU-T M Suppl. 2.15 (10/1976)
ITU-T M Suppl. 2.16 (10/1984)
ITU-T M Suppl. 2.16 (11/1988)
ITU-T M Suppl. 2.17 (10/1984)
ITU-T M Suppl. 2.17 (11/1988)
ITU-T M Suppl. 2.2 (12/1972)
ITU-T M Suppl. 2.3 (12/1972)
ITU-T M Suppl. 2.4 (12/1972)
ITU-T M Suppl. 2.5 (12/1972)
ITU-T M Suppl. 2.6 (12/1972)
ITU-T M Suppl. 2.7 (12/1972)
ITU-T M Suppl. 2.8 (12/1972)
ITU-T M Suppl. 2.9 (12/1972)
ITU-T M Suppl. 4.1 (10/1976)
ITU-T M Suppl. 4.1 (11/1980)
ITU-T M Suppl. 4.10 (11/1980)
ITU-T M Suppl. 4.2 (11/1980)
ITU-T M Suppl. 4.3 (12/1972)
ITU-T M Suppl. 4.5 (12/1972)
ITU-T M Suppl. 4.6 (12/1972)
ITU-T M Suppl. 4.7 (12/1972)
ITU-T M Suppl. 4.8 (12/1972)
ITU-T M Suppl. 4.9 (10/1976)
ITU-T M Suppl. 6.1 (12/1972)
ITU-T M Suppl. 6.2 (11/1988)
ITU-T N Suppl. 5.1 (12/1972)
ITU-T N Suppl. 5.2 (11/1988)
ITU-T O Suppl. 3.1 (11/1988)
ITU-T O Suppl. 3.1 (12/1972)
ITU-T O Suppl. 3.2 (12/1972)
ITU-T O Suppl. 3.3 (12/1972)
ITU-T O Suppl. 3.4 (10/1976)
ITU-T O Suppl. 3.5 (10/1984)
ITU-T O Suppl. 3.5 (11/1980)
ITU-T O Suppl. 3.6 (11/1988)
ITU-T O Suppl. 3.7 (11/1988)
ITU-T O Suppl. 3.8 (11/1988)
ITU-T Q Suppl.3 (10/1976)
ITU-T U Suppl.1 (10/1976)
