# NIST Technical Note - Pass
# Auto-generated by classify_fixtures.rb

NBS TN 1
NBS TN 10
NBS TN 100
NBS TN 1000
NBS TN 1001
NBS TN 1002
NBS TN 1003
NBS TN 1004
NBS TN 1005
NBS TN 1008
NBS TN 1009
NBS TN 100-A
NBS TN 1010
NBS TN 1011
NBS TN 101-1
NBS TN 1012
NBS TN 101-2
NBS TN 1013
NBS TN 1014
NBS TN 1015
NBS TN 1016
NBS TN 1017
NBS TN 1018
NBS TN 1019
NBS TN 102
NBS TN 1020
NBS TN 1021
NBS TN 1022
NBS TN 1023
NBS TN 1024
NBS TN 1025
NBS TN 1028
NBS TN 1029
NBS TN 103
NBS TN 1030
NBS TN 1031
NBS TN 1032
NBS TN 1033
NBS TN 1034
NBS TN 1035
NBS TN 1036
NBS TN 1037
NBS TN 1038
NBS TN 1039
NBS TN 1040
NBS TN 1041
NBS TN 1042
NBS TN 1043
NBS TN 1044
NBS TN 1045
NBS TN 1046
NBS TN 1047
NBS TN 1048
NBS TN 1049
NBS TN 1050
NBS TN 1051
NBS TN 1052
NBS TN 1053
NBS TN 1054
NBS TN 1055
NBS TN 1056
NBS TN 1057
NBS TN 1058
NBS TN 1059
NBS TN 106
NBS TN 1060
NBS TN 1061
NBS TN 1062
NBS TN 1063
NBS TN 1064
NBS TN 1065
NBS TN 1066
NBS TN 1067
NBS TN 1068-1
NBS TN 1068-2
NBS TN 1069
NBS TN 107
NBS TN 1070
NBS TN 1071
NBS TN 1072
NBS TN 1073
NBS TN 1074
NBS TN 1075
NBS TN 1076
NBS TN 1077
NBS TN 1078
NBS TN 1079
NBS TN 108
NBS TN 1080
NBS TN 1081
NBS TN 1082
NBS TN 1083
NBS TN 1084
NBS TN 1085
NBS TN 1086
NBS TN 1087
NBS TN 1088
NBS TN 1089
NBS TN 109
NBS TN 1090
NBS TN 1091
NBS TN 1092
NBS TN 1093
NBS TN 1094
NBS TN 1095
NBS TN 1096
NBS TN 1097
NBS TN 1098
NBS TN 1099
NBS TN 11
NBS TN 110
NBS TN 1100
NBS TN 1101
NBS TN 1102
NBS TN 1103
NBS TN 1104
NBS TN 1105
NBS TN 1106
NBS TN 1107
NBS TN 1108
NBS TN 1109
NBS TN 111
NBS TN 1110
NBS TN 1112
NBS TN 1113-1
NBS TN 1113-2
NBS TN 1113-3
NBS TN 1114
NBS TN 1115
NBS TN 1116
NBS TN 1117
NBS TN 1118
NBS TN 1119
NBS TN 112
NBS TN 1120
NBS TN 1121
NBS TN 1122
NBS TN 1123
NBS TN 1125
NBS TN 1126
NBS TN 1127
NBS TN 1128
NBS TN 1129
NBS TN 113
NBS TN 1130
NBS TN 1131
NBS TN 1132
NBS TN 1133
NBS TN 1134
NBS TN 1135
NBS TN 1136
NBS TN 1137
NBS TN 1138
NBS TN 1139
NBS TN 114
NBS TN 1140
NBS TN 1141
NBS TN 1142
NBS TN 1143
NBS TN 1144
NBS TN 1145
NBS TN 1146
NBS TN 1147
NBS TN 1148
NBS TN 1149
NBS TN 115
NBS TN 1150
NBS TN 1151
NBS TN 1152
NBS TN 1153
NBS TN 1154
NBS TN 1155
NBS TN 1156
NBS TN 1157
NBS TN 1158
NBS TN 1159
NBS TN 116
NBS TN 1160
NBS TN 1161
NBS TN 1162
NBS TN 1163
NBS TN 1164
NBS TN 1165
NBS TN 1166
NBS TN 1167
NBS TN 1168
NBS TN 1169
NBS TN 117
NBS TN 1170
NBS TN 1171
NBS TN 1172
NBS TN 1173
NBS TN 1174
NBS TN 1175
NBS TN 1176
NBS TN 1177
NBS TN 1178
NBS TN 1179
NBS TN 118
NBS TN 1180
NBS TN 1181
NBS TN 1182
NBS TN 1183
NBS TN 1184
NBS TN 1185
NBS TN 1186
NBS TN 1187
NBS TN 1188
NBS TN 1189
NBS TN 119
NBS TN 1190
NBS TN 1191
NBS TN 1192
NBS TN 1193
NBS TN 1194
NBS TN 1195
NBS TN 1196
NBS TN 1197
NBS TN 1198
NBS TN 1199
NBS TN 12
NBS TN 120
NBS TN 1200
NBS TN 1201
NBS TN 1202
NBS TN 1203
NBS TN 1204
NBS TN 1205
NBS TN 1206
NBS TN 1207
NBS TN 1208
NBS TN 1209
NBS TN 120A
NBS TN 121
NBS TN 1210
NBS TN 1211
NBS TN 1212
NBS TN 1213
NBS TN 1214
NBS TN 1215
NBS TN 1216
NBS TN 1217
NBS TN 1218
NBS TN 1219
NBS TN 122
NBS TN 1220
NBS TN 1221
NBS TN 1222
NBS TN 1223
NBS TN 1224
NBS TN 1225
NBS TN 1226
NBS TN 1227
NBS TN 1228
NBS TN 1229
NBS TN 123
NBS TN 1230
NBS TN 1231
NBS TN 1232
NBS TN 1233
NBS TN 1234
NBS TN 1236
NBS TN 1238
NBS TN 1239
NBS TN 124
NBS TN 1240
NBS TN 1241
NBS TN 1242
NBS TN 1243
NBS TN 1244
NBS TN 1245
NBS TN 1246
NBS TN 1247
NBS TN 1248
NBS TN 1249
NBS TN 125
NBS TN 126
NBS TN 127
NBS TN 128
NBS TN 129
NBS TN 129A
NBS TN 13
NBS TN 130
NBS TN 1300
NBS TN 1301
NBS TN 1302
NBS TN 1303
NBS TN 1305
NBS TN 1306
NBS TN 1307
NBS TN 1308
NBS TN 1309
NBS TN 131
NBS TN 1311
NBS TN 1312
NBS TN 1313
NBS TN 1314
NBS TN 1315
NBS TN 1317
NBS TN 132
NBS TN 1321
NBS TN 133
NBS TN 134
NBS TN 135
NBS TN 136
NBS TN 137
NBS TN 138
NBS TN 139
NBS TN 14
NBS TN 140
NBS TN 141
NBS TN 142
NBS TN 143
NBS TN 144
NBS TN 145
NBS TN 146
NBS TN 147
NBS TN 148
NBS TN 15
NBS TN 150
NBS TN 151
NBS TN 152
NBS TN 153
NBS TN 154
NBS TN 154A
NBS TN 155
NBS TN 157
NBS TN 158
NBS TN 159
NBS TN 16
NBS TN 160
NBS TN 161
NBS TN 162
NBS TN 163
NBS TN 164
NBS TN 165
NBS TN 166
NBS TN 167
NBS TN 168
NBS TN 169
NBS TN 170
NBS TN 171
NBS TN 172
NBS TN 173
NBS TN 174
NBS TN 175
NBS TN 177
NBS TN 178
NBS TN 179
NBS TN 18
NBS TN 180
NBS TN 181
NBS TN 18-10
NBS TN 18-11
NBS TN 18-12
NBS TN 18-13
NBS TN 18-14
NBS TN 18-15
NBS TN 18-16
NBS TN 18-17
NBS TN 18-18
NBS TN 18-19
NBS TN 182
NBS TN 18-2
NBS TN 18-20
NBS TN 18-21
NBS TN 18-22
NBS TN 18-23
NBS TN 18-24
NBS TN 18-25
NBS TN 183
NBS TN 18-3
NBS TN 184
NBS TN 18-4
NBS TN 185
NBS TN 18-5
NBS TN 186
NBS TN 18-6
NBS TN 187
NBS TN 18-7
NBS TN 188
NBS TN 18-8
NBS TN 18-9
NBS TN 19
NBS TN 190
NBS TN 191
NBS TN 192
NBS TN 193
NBS TN 194
NBS TN 195
NBS TN 196
NBS TN 197
NBS TN 198
NBS TN 199
NBS TN 2
NBS TN 20
NBS TN 200
NBS TN 201
NBS TN 202
NBS TN 203
NBS TN 204
NBS TN 205
NBS TN 206-1
NBS TN 206-2
NBS TN 206-3
NBS TN 206-4
NBS TN 206-5
NBS TN 207
NBS TN 208
NBS TN 209
NBS TN 21
NBS TN 210
NBS TN 211
NBS TN 211-2
NBS TN 211-3
NBS TN 211-4
NBS TN 211-5
NBS TN 211-6
NBS TN 214
NBS TN 215
NBS TN 216
NBS TN 217
NBS TN 218
NBS TN 219
NBS TN 22
NBS TN 2-2
NBS TN 220
NBS TN 221
NBS TN 222
NBS TN 223
NBS TN 224
NBS TN 225
NBS TN 226
NBS TN 227
NBS TN 228
NBS TN 229
NBS TN 23
NBS TN 230
NBS TN 231
NBS TN 232
NBS TN 233
NBS TN 234
NBS TN 235
NBS TN 236
NBS TN 237
NBS TN 238
NBS TN 24
NBS TN 240
NBS TN 241
NBS TN 242
NBS TN 243
NBS TN 244
NBS TN 245
NBS TN 246
NBS TN 247
NBS TN 248
NBS TN 249
NBS TN 25
NBS TN 250
NBS TN 251
NBS TN 252
NBS TN 253
NBS TN 254
NBS TN 255
NBS TN 256
NBS TN 257
NBS TN 258
NBS TN 259
NBS TN 26
NBS TN 260
NBS TN 261
